,content_length,content_type,date_retrieved,eis_number,file_url_epa,file_url_s3,last_modified,title
27,1656628,application/pdf,2014-12-23 15:53:34.749682,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20E_Economic%20and%20Business%20Supporting%20Documents.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-e_economic-and-business-supporting-documents.pdf,"Tue, 23 Dec 2014 11:18:37 GMT",EIS Document: US 53 Draft EIS_Appendix E_Economic and Business Supporting Documents.pdf
28,9314701,application/pdf,2014-12-23 15:53:34.798681,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20F_Mesabi%20Trail%20and%20OHVRA%20Information.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-f_mesabi-trail-and-ohvra-information.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix F_Mesabi Trail and OHVRA Information.pdf
29,15973051,application/pdf,2014-12-23 15:53:34.848221,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20G_Water%20Supply_Water%20Appropriation%20Supporting%20Documents.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-g_water-supply_water-appropriation-supporting-documents.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix G_Water Supply_Water Appropriation Supporting Documents.pdf
30,887875,application/pdf,2014-12-23 15:53:34.896962,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20H_Noise%20Supporting%20Documents.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-h_noise-supporting-documents.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix H_Noise Supporting Documents.pdf
31,3196335,application/pdf,2014-12-23 15:53:34.947010,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20I_Hazardous%20Materials%20and%20Contaminated%20Properties%20Supporting%20Documents.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-i_hazardous-materials-and-contaminated-properties-supporting-documents.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix I_Hazardous Materials and Contaminated Properties Supporting Documents.pdf
32,5681110,application/pdf,2014-12-23 15:53:34.996237,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20J_Water%20Resources%20Technical%20Report.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-j_water-resources-technical-report.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix J_Water Resources Technical Report.pdf
33,12426239,application/pdf,2014-12-23 15:53:35.045389,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20K_Alternatives%20Development%20Report.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-k_alternatives-development-report.pdf,"Tue, 23 Dec 2014 11:18:43 GMT",EIS Document: US 53 Draft EIS_Appendix K_Alternatives Development Report.pdf
34,60670,application/pdf,2014-12-23 15:53:35.096870,20140363,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140363/%24file/US%2053%20Draft%20EIS_Appendix%20L_List%20of%20Preparers.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140363/us-53-draft-eis_appendix-l_list-of-preparers.pdf,"Tue, 23 Dec 2014 11:18:37 GMT",EIS Document: US 53 Draft EIS_Appendix L_List of Preparers.pdf
35,146513,application/pdf,2014-12-23 15:53:35.153535,20140358,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140358/%24file/NOA_Sunnydale_2014_12_19_clean.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140358/noa_sunnydale_2014_12_19_clean.pdf,"Tue, 23 Dec 2014 11:36:37 GMT",EIS Document: NOA_Sunnydale_2014_12_19_clean.pdf
36,27260652,application/pdf,2014-12-23 15:53:35.203270,20140358,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140358/%24file/Sunnydale-Velasco%20HOPE%20SF%20DEIR-EIS.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140358/sunnydalevelasco-hope-sf-deireis.pdf,"Tue, 23 Dec 2014 11:36:37 GMT",EIS Document: Sunnydale-Velasco HOPE SF DEIR-EIS.pdf
